21,21
1,1
1,2
1,3
1,4
1,5
1,7
1,8
1,9
1,11
1,12
1,13
1,14
1,15
1,17
1,18
1,19
2,1
2,5
2,7
2,9
2,11
2,13
2,17
2,19
2,1
3,1
3,2
3,3
3,5
3,6
3,7
3,9
3,10
3,11
3,13
3,15
3,16
3,17
3,19
4,3
4,9
4,13
4,15
4,19
5,1
5,2
5,3
5,5
5,6
5,7
5,8
5,9
5,11
5,12
5,13
5,15
5,17
5,18
5,19
6,1
6,5
6,11
6,15
7,1
7,2
7,3
7,5
7,6
7,7
7,8
7,9
7,11
7,13
7,14
7,15
7,17
7,18
7,19
8,3
8,9
8,11
8,13
8,17
8,19
9,0
9,1
9,3
9,5
9,6
9,7
9,8
9,9
9,11
9,12
9,13
9,15
9,16
9,17
9,19
9,20
10,1
10,3
10,5
10,9
10,15
11,1
11,2
11,3
11,5
11,7
11,8
11,9
11,11
11,12
11,13
11,15
11,16
11,17
11,18
11,19
12,5
12,11
12,13
12,17
12,19
13,1
13,2
13,3
13,4
13,5
13,7
13,8
13,9
13,10
13,11
13,13
13,14
13,15
13,17
13,19
14,1
14,7
14,15
14,17
15,1
15,2
15,3
15,4
15,5
15,7
15,8
15,9
15,11
15,12
15,13
15,15
15,16
15,17
15,19
16,3
16,5
16,9
16,11
16,13
16,19
17,1
17,3
17,5
17,7
17,8
17,9
17,10
17,11
17,13
17,15
17,16
17,17
17,19
18,1
18,3
18,5
18,7
18,11
18,13
18,15
18,17
18,19
19,1
19,2
19,3
19,5
19,6
19,7
19,9
19,10
19,11
19,13
19,14
19,15
19,17
19,18
19,19
